bid,nid
0,0
1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,2
9,7
10,8
11,9
12,8
13,5
14,8
15,5
16,2
17,10
18,1
19,5
20,3
21,1
22,11
23,12
24,3
25,13
26,13
27,10
28,0
29,14
30,8
31,1
32,4
33,15
34,14
35,11
36,16
37,9
38,12
39,15
40,16
41,16
42,7
43,4
44,17
45,12
46,18
47,4
48,19
49,14
50,16
51,9
52,8
53,0
54,2
55,11
56,12
57,20
58,2
59,14
60,8
61,2
62,3
63,19
64,4
65,2
66,10
67,8
68,18
69,0
70,18
71,3
72,7
73,20
74,13
75,1
76,20
77,9
78,14
79,12
80,17
81,5
82,9
83,20
84,5
85,16
86,19
87,7
88,4
89,14
90,5
91,1
92,20
93,12
94,21
95,1
96,5
97,7
98,4
99,15
100,19
101,10
102,18
103,11
104,9
105,7
106,14
107,18
108,15
109,11
110,9
111,12
112,1
113,8
114,18
115,7
116,10
117,1
118,11
119,3
120,0
121,3
122,2
123,16
124,17
125,13
126,16
127,11
128,9
129,7
130,19
131,11
132,8
133,11
134,3
135,0
136,12
137,17
138,15
139,16
140,21
141,18
142,15
143,9
144,9
145,15
146,7
147,15
148,15
149,14
150,5
151,9
152,16
153,5
154,1
155,5
156,2
157,11
158,5
159,5
160,16
161,0
162,4
163,0
164,10
165,3
166,17
167,21
168,17
169,5
170,21
171,17
172,15
173,15
174,19
175,18
176,18
177,16
178,0
179,5
180,12
181,7
182,0
183,13
184,10
185,11
186,6
187,2
188,2
189,18
190,3
191,12
192,11
193,15
194,7
195,13
196,6
197,14
198,19
199,21
200,8
201,7
202,3
203,18
204,2
205,17
206,20
207,5
208,10
209,8
210,13
211,18
212,8
213,20
214,4
215,9
216,10
217,5
218,17
219,6
220,10
221,5
222,16
223,16
224,13
225,0
226,7
227,7
228,8
229,5
230,12
231,21
232,9
233,19
234,13
235,10
236,10
237,15
238,17
239,21
240,14
241,0
242,4
243,10
244,21
245,10
246,7
247,19
248,6
249,10
